#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
790,1.5800000000000012,-157780.97143833886,-137327.4532686579,250.63574976687147
800,1.6000000000000012,-158042.9044131115,-137154.69858207693,255.9623770499601
810,1.6200000000000012,-157736.1544131115,-137042.30691612512,253.58072581649083
820,1.6400000000000012,-157740.0919131115,-136955.8592323166,254.6882985149248
830,1.6600000000000013,-157420.2342754904,-136718.33582694217,253.6793815227755
840,1.6800000000000013,-157590.7342754904,-136646.31180753582,256.6512511510769
850,1.7000000000000013,-157316.1577217573,-136487.61984015018,255.23121084580225
860,1.7200000000000013,-157334.1577217573,-136311.80563893623,257.6061943197325
870,1.7400000000000013,-157219.4702217573,-136053.88482584612,259.36136370037957
880,1.7600000000000013,-157138.5952217573,-135921.6878906641,259.99025852410244
890,1.7800000000000014,-157196.6577217573,-135700.77094244806,263.40885001496997
900,1.8000000000000014,-156602.73905877257,-135557.74871573367,257.88360172104314
910,1.8200000000000014,-156947.61405877257,-135312.7919602706,265.1113521276178
920,1.8400000000000014,-156750.11405877257,-135304.1035113351,262.7976707221449
930,1.8600000000000014,-156813.17655877257,-135164.6163254541,265.2796981154118
940,1.8800000000000014,-156883.23905877257,-135114.57809789875,266.75140267247923
950,1.9000000000000015,-156573.73905877257,-134905.21915586945,265.52428228474366
960,1.9200000000000015,-156541.42655877257,-134742.80840388453,267.11849569385464
970,1.9400000000000015,-156784.61405877257,-134718.44453573436,270.3970484201465
980,1.9600000000000015,-156492.36405877257,-134688.99460836104,267.1767176831483
990,1.9800000000000015,-156457.17655877257,-134632.41664309485,267.4388347065071
1000,2.0000000000000013,-156402.55155877257,-134467.89283786225,268.78552573635585
1010,2.019999999999999,-156345.42655877257,-134401.07492567762,268.9043018947001
1020,2.039999999999997,-156159.98905877257,-134272.48561200197,268.2076888384969
1030,2.0599999999999947,-156625.05214484886,-134252.54791038122,274.1508490837675
1040,2.0799999999999925,-156490.30214484886,-134238.01377894462,272.67773359814294
1050,2.0999999999999903,-156444.59220328485,-134099.40405615512,273.8161199690091
1060,2.119999999999988,-156370.34220328485,-134082.67539670388,273.11125813563484
1070,2.139999999999986,-156400.59220328485,-134072.14441304444,273.61098499587087
1080,2.1599999999999837,-156395.02970328485,-133978.63673412683,274.6886580726264
1090,2.1799999999999815,-156246.71720328485,-133943.09186720394,273.30681265946833
1100,2.1999999999999793,-156389.30993803032,-133837.04818265513,276.35358313935336
1110,2.219999999999977,-156044.30993803032,-133777.8519363245,272.8513671639476
1120,2.239999999999975,-156006.68493803032,-133593.7910651646,274.6457804309683
1130,2.2599999999999727,-156027.49743803032,-133560.15223164123,275.3130226476969
1140,2.2799999999999705,-155927.30993803032,-133448.48342071753,275.45371369887926
1150,2.2999999999999683,-155812.9811857721,-133433.53803836496,274.2358779591295
1160,2.319999999999966,-155938.1061857721,-133359.62351132848,276.67489215112215
1170,2.339999999999964,-155982.2311857721,-133282.69785639283,278.15823704112455
1180,2.3599999999999617,-155607.1686857721,-133220.2906095587,274.3269849726204
1190,2.3799999999999595,-155679.1061857721,-133075.4361201519,276.98353639608007
1200,2.3999999999999573,-155469.26562779723,-132942.27176039008,276.04395249325336
1210,2.419999999999955,-156089.26562779723,-132919.50634076528,283.92034771951256
1220,2.439999999999953,-155725.14062779723,-132726.50760694098,281.8233803581062
1230,2.4599999999999507,-155544.76562779723,-132627.19749484584,280.83001780838515
1240,2.4799999999999485,-155525.95312779723,-132530.28756497335,281.7870173684888
1250,2.4999999999999463,-155374.82812779723,-132392.8914040972,281.61878528935745
1260,2.519999999999944,-155100.26562779723,-132352.98970611533,278.743270888031
1270,2.539999999999942,-155066.51562779723,-132199.30543740815,280.2129356718981
1280,2.5599999999999397,-155168.89062779723,-132079.19606271829,282.93924112210016
1290,2.5799999999999375,-154899.07812779723,-131944.54629761784,281.28296795085146
1300,2.5999999999999353,-155129.0920970114,-131838.99188022316,285.39499569483354
1310,2.619999999999933,-154734.0295970114,-131792.73627421516,281.1207443570304
1320,2.639999999999931,-154858.0920970114,-131638.35273480043,284.5327994997871
1330,2.6599999999999286,-154907.3420970114,-131615.3555475712,285.4181106618827
1340,2.6799999999999264,-154874.5920970114,-131531.31117480766,286.0466677379689
